ID	Household_Size	Number_of_Vehicles	Income	Proximity_to_Public_Transportation	Presence_of_Children	Trips
2502	3	0	76.365	1	1	3
2503	5	1	79.678	1.2	1	4
2504	2	2	83.533	1.5	0	3
2505	3	1	66.649	1.8	1	3
2506	2	1	73.409	2.4	0	2
2507	4	2	77.034	3.8	1	3
2508	2	1	80.366	0.3	0	3
2509	3	1	84.537	0.5	1	3
2510	3	3	68.869	0.6	1	4
2511	5	0	74.214	0.7	1	4
2512	1	1	77.693	0.9	0	3
2513	3	1	81.081	1	1	3
2514	2	0	85.724	1.2	0	3
2515	4	1	70.359	1.5	1	3
2516	2	2	74.965	1.9	0	2
2517	3	1	78.349	2.5	1	3
2518	3	1	81.836	4.1	1	1
2519	5	2	87.243	0.3	1	5
2520	2	0	71.532	0.5	1	2
2521	3	1	75.679	0.6	1	3
2522	2	2	79.008	0.7	0	3
2523	4	0	82.645	0.9	1	4
2524	2	1	89.545	1.1	0	3
2525	4	2	62.607	1.3	1	4
2526	3	1	72.711	1.5	1	3
2527	6	1	76.5	1.9	1	4
2528	1	2	79.814	2.6	0	2
2529	3	0	83.723	4.4	1	2
2530	2	1	67.199	0.3	0	3
2531	4	2	73.575	0.5	1	4
2532	2	1	77.166	0.6	0	3
2533	3	1	80.507	0.7	1	4
2534	3	2	84.756	0.9	1	4
2535	5	1	69.205	1.1	1	4
2536	2	1	74.368	1.3	0	3
2537	3	3	77.824	1.6	1	3
2538	2	0	81.229	2	0	2
2539	4	1	85.994	2.7	1	3
2540	2	1	70.613	4.9	0	0
2541	4	0	75.111	0.2	1	4
2542	3	1	78.48	0.4	1	3
2543	6	2	81.993	0.5	1	5
2544	2	1	87.614	0.6	1	3
2545	3	1	71.743	0.8	1	3
2546	2	2	75.818	0.9	0	3
2547	4	0	79.141	1.1	1	3
2548	2	1	82.815	1.3	0	3
2549	3	2	90.229	1.6	1	3
2550	3	1	64.181	2	1	3
2551	5	1	72.891	2.8	1	3
2552	2	2	76.634	0.2	0	4
2553	3	1	79.951	0.4	1	3
2554	2	1	83.918	0.5	0	3
2555	4	3	67.682	0.6	1	5
2556	2	0	73.739	0.8	1	3
2557	4	1	77.299	0.9	1	4
2558	3	2	80.648	1.1	1	3
2559	8	1	84.984	1.3	1	6
2560	1	1	69.518	1.6	0	2
2561	3	2	74.52	2.1	1	3
2562	2	1	77.955	2.9	0	2
2563	4	1	81.378	0.2	1	4
2564	2	3	86.279	0.4	0	3
2565	3	0	70.856	0.5	1	3
2566	2	1	75.255	0.6	1	3
2567	4	1	78.612	0.8	1	4
2568	2	0	82.152	0.9	1	3
2569	3	1	88.019	1.1	1	4
2570	2	2	71.947	1.4	0	3
2571	4	1	75.956	1.7	1	3
2572	2	1	79.275	2.1	0	3
2573	3	2	82.989	3	1	2
2574	3	0	91.08	0.2	1	4
2575	5	1	65.216	0.4	1	4
2576	1	2	73.067	0.5	0	3
2577	3	1	76.768	0.7	1	4
2578	2	1	80.088	0.8	0	3
2579	4	2	84.118	1	1	4
2580	2	1	68.115	1.1	1	2
2581	3	1	73.899	1.4	1	2
2582	3	3	77.43	1.7	1	3
2583	5	0	80.791	2.2	1	4
2584	2	1	85.221	3.1	0	2
2585	3	2	69.814	0.2	1	3
2586	2	1	74.67	0.4	0	3
2587	4	1	78.087	0.5	1	4
2588	2	2	81.528	0.7	0	3
2589	4	1	86.58	0.8	1	4
2590	3	1	71.09	1	1	4
2591	6	3	75.397	1.2	1	5
2592	1	0	78.744	1.4	0	2
2593	3	1	82.313	1.7	1	3
2594	2	1	88.466	2.2	0	2
2595	4	0	72.145	3.2	1	2
2596	2	1	76.093	0.3	1	3
2597	3	2	79.408	0.4	1	4
2598	3	1	83.166	0.5	1	4
2599	5	1	92.238	0.7	1	5
2600	2	2	66.005	0.8	0	3
2601	3	0	73.24	1	1	3
2602	2	1	76.901	1.2	0	3
2603	4	2	80.227	1.4	1	4
2604	2	1	84.324	1.8	0	2
2605	3	1	68.508	2.3	1	3
2606	3	2	74.058	3.4	1	2
2607	5	1	77.562	0.3	1	4
2608	1	1	80.936	0.4	0	2
2609	3	2	85.467	0.6	1	4
2610	2	0	70.093	0.7	0	2
2611	4	1	74.819	0.8	1	3
2612	2	2	78.218	1	0	3
2613	3	1	81.681	1.2	1	3
2614	3	1	86.9	1.5	1	3
2615	5	2	71.315	1.8	1	4
2616	2	1	75.538	2.4	0	2
2617	3	1	78.876	3.6	1	2
2618	2	3	82.478	0.3	0	3
2619	4	0	88.968	0.4	1	4
2620	2	1	72.339	0.6	0	3
2621	4	1	76.23	0.7	1	4
2622	3	0	79.543	0.9	1	3
2623	6	1	83.347	1	1	5
2624	1	2	94.162	1.2	0	2
2625	3	1	59.947	1.5	1	3
2626	2	1	72.564	1.8	0	2
2627	4	2	76.392	2.4	1	3
2628	2	0	79.705	3.8	0	1
2629	3	1	83.57	0.3	1	3
2630	2	2	66.766	0.5	0	3
2631	4	1	73.442	0.6	1	4
2632	2	1	77.061	0.7	0	3
2633	3	2	80.394	0.9	1	4
2634	2	1	84.58	1	0	3
2635	4	1	68.938	1.2	1	3
2636	2	3	74.245	1.5	0	3
2637	3	0	77.719	1.9	1	3
2638	3	1	81.111	2.5	1	3
2639	5	2	85.777	4.1	1	3
2640	1	1	70.411	0.3	0	2
2641	3	1	74.995	0.5	1	4
2642	2	2	78.375	0.6	1	4
2643	4	1	81.867	0.7	1	4
2644	2	1	87.315	0.9	0	3
2645	3	3	71.575	1.1	1	3
2646	3	0	75.707	1.3	1	3
2647	5	1	79.035	1.5	1	4
2648	2	2	82.679	1.9	0	3
2649	3	0	89.672	2.6	1	2
2650	2	1	62.998	4.5	0	1
2651	4	2	72.747	0.3	1	5
2652	2	1	76.527	0.5	0	3
2653	4	1	79.841	0.6	1	4
2654	3	2	83.761	0.7	1	4
2655	6	0	67.301	0.9	1	4
2656	1	1	73.608	1.1	0	2
2657	3	2	77.193	1.3	1	4
2658	2	1	80.535	1.6	0	3
2659	4	1	84.801	2	1	4
2660	2	2	69.269	2.7	0	2
2661	3	1	74.399	5	1	1
2662	3	1	77.851	0.1	1	4
2663	5	3	81.258	0.3	1	5
2664	2	0	86.05	0.5	0	3
2665	3	1	70.662	0.6	1	3
2666	2	2	75.14	0.7	1	3
2667	4	1	78.507	0.9	1	4
2668	2	1	82.024	1.1	0	2
2669	3	2	87.692	1.3	1	4
2670	3	1	71.784	1.6	1	3
2671	6	1	75.845	2	1	4
2672	2	3	79.168	2.7	0	2
2673	3	0	82.85	0.2	1	4
2674	2	1	90.383	0.4	0	3
2675	4	1	64.417	0.5	1	3
2676	2	0	72.926	0.6	0	3
2677	3	1	76.661	0.8	1	4
2678	3	2	79.978	0.9	1	3
2679	5	1	83.957	1.1	1	4
2680	2	1	67.772	1.3	0	3
2681	3	2	73.771	1.6	1	3
2682	2	0	77.325	2	0	2
2683	4	1	80.677	2.8	1	3
2684	2	2	85.031	0.2	0	3
2685	4	0	69.579	0.4	1	3
2686	3	1	74.55	0.5	1	3
2687	7	2	77.982	0.6	1	5
2688	1	1	81.408	0.8	0	3
2689	3	1	86.338	0.9	1	4
2690	2	2	70.904	1.1	0	3
2691	4	0	75.283	1.3	1	3
2692	2	1	78.638	1.6	0	2
2693	3	2	82.184	2.1	1	3
2694	2	1	88.105	2.9	0	2
2695	4	1	71.987	0.2	1	4
2696	2	2	75.983	0.4	0	3
2697	3	1	79.301	0.5	1	4
2698	2	1	83.024	0.6	0	3
2699	4	3	91.28	0.8	1	5
2700	2	0	65.389	0.9	0	2
2701	3	1	73.102	1.1	1	3
2702	3	1	76.795	1.4	1	3
2703	5	0	80.116	1.7	1	4
2704	1	1	84.159	2.1	0	2
2705	3	2	68.196	3	1	3
2706	2	1	73.931	0.2	0	3
2707	4	1	77.457	0.4	1	4
2708	2	2	80.82	0.5	1	4
2709	3	0	85.269	0.7	1	3
2710	3	1	69.871	0.8	1	3
2711	5	2	74.7	1	1	4
2712	2	1	78.113	1.1	0	3
2713	3	1	81.559	1.4	1	3
2714	2	2	86.642	1.7	1	3
2715	4	1	71.135	2.2	1	3
2716	2	1	75.425	3.1	0	1
2717	4	3	78.77	0.2	1	4
2718	3	0	82.346	0.4	1	3
2719	6	1	88.562	0.5	1	5
2720	1	2	72.184	0.7	0	2
2721	3	1	76.12	0.8	1	3
2722	2	1	79.435	1	0	3
2723	4	2	83.202	1.2	1	4
2724	2	1	92.532	1.4	0	3
2725	3	1	66.143	1.7	1	3
2726	3	3	73.274	2.2	1	3
2727	5	0	76.928	3.3	1	3
2728	2	1	80.254	0.3	0	3
2729	3	1	84.366	0.4	1	4
2730	2	0	68.582	0.5	0	2
2731	4	1	74.089	0.7	1	4
2732	2	2	77.588	0.8	0	3
2733	3	1	80.965	1	1	4
2734	3	1	85.518	1.2	1	3
2735	6	2	70.148	1.4	1	5
2736	1	0	74.848	1.8	0	2
2737	3	1	78.244	2.3	1	3
2738	2	2	81.712	3.4	1	2
2739	4	1	86.967	0.3	1	4
2740	2	1	71.359	0.4	0	3
2741	3	2	75.567	0.6	1	4
2742	3	1	78.902	0.7	1	3
2743	5	1	82.511	0.8	1	4
2744	2	3	89.077	1	0	3
2745	3	0	72.377	1.2	1	3
2746	2	1	76.257	1.5	0	2
2747	4	2	79.57	1.8	1	3
2748	2	1	83.384	2.4	0	2
2749	4	1	94.788	3.6	1	3
2750	3	2	60.912	0.3	1	3
2751	7	1	72.601	0.4	1	5
2752	1	1	76.419	0.6	0	2
2753	3	3	79.732	0.7	1	4
2754	2	0	83.608	0.9	0	2
2755	4	1	66.879	1	1	4
2756	2	1	73.476	1.2	0	3
2757	3	0	77.087	1.5	1	3
2758	3	1	80.422	1.8	1	3
2759	5	2	84.624	2.4	1	4
2760	2	1	69.006	3.9	1	1
2761	3	1	74.276	0.3	1	4
2762	2	2	77.746	0.5	1	3
2763	4	0	81.14	0.6	1	3
2764	2	1	85.831	0.7	0	3
2765	3	2	70.462	0.9	1	4
2766	3	0	75.024	1	1	3
2767	5	1	78.401	1.2	1	4
2768	1	2	81.898	1.5	0	2
2769	3	1	87.388	1.9	1	3
2770	2	1	71.617	2.5	0	2
2771	4	2	75.734	4.1	1	3
2772	2	0	79.061	0.3	0	2
2773	3	1	82.713	0.5	1	3
2774	3	2	89.803	0.6	1	4
2775	5	1	63.341	0.7	1	4
2776	2	1	72.783	0.9	0	3
2777	3	2	76.554	1.1	1	4
2778	2	1	79.869	1.3	0	3
2779	4	1	83.8	1.5	1	4
2780	2	3	67.4	1.9	0	3
2781	4	0	73.641	2.6	1	2
2782	3	1	77.219	4.5	1	1
2783	6	1	80.563	0.1	1	5
2784	1	0	84.846	0.3	0	2
2785	3	1	69.333	0.5	1	3
2786	2	2	74.429	0.6	0	3
2787	4	1	77.877	0.7	1	4
2788	2	1	81.288	0.9	0	3
2789	3	2	86.106	1.1	1	4
2790	3	0	70.711	1.3	1	3
2791	5	1	75.168	1.6	1	4
2792	2	2	78.533	2	0	2
2793	3	1	82.056	2.7	1	3
2794	2	1	87.772	0.2	0	3
2795	4	2	71.825	0.4	1	4
2796	2	1	75.873	0.5	0	3
2797	4	1	79.195	0.6	1	4
2798	3	3	82.884	0.8	1	4
2799	6	0	90.544	0.9	1	4
2800	2	1	64.636	1.1	0	2
2801	3	2	72.962	1.3	1	3
2802	2	1	76.688	1.6	0	2
2803	4	1	80.006	2	1	3
2804	2	2	83.997	2.8	1	2
2805	3	1	67.861	0.2	1	3
2806	3	1	73.803	0.4	1	3
2807	5	3	77.351	0.5	1	5
2808	2	0	80.705	0.6	0	3
2809	3	1	85.078	0.8	1	4
2810	2	2	69.639	0.9	0	2
2811	4	0	74.58	1.1	1	3
2812	2	1	78.008	1.3	0	3
2813	4	2	81.438	1.6	1	4
2814	3	1	86.397	2.1	1	3
2815	7	1	70.951	2.9	1	4
2816	1	2	75.312	0.2	0	3
2817	3	0	78.665	0.4	1	4
2818	2	1	82.216	0.5	0	3
2819	4	2	88.192	0.6	1	4
2820	2	1	72.027	0.8	0	3
2821	3	1	76.011	0.9	1	3
2822	2	2	79.328	1.1	0	3
2823	4	1	83.059	1.4	1	4
2824	2	1	91.494	1.7	0	2
2825	3	3	65.553	2.1	1	3
2826	2	0	73.136	3	1	2
2827	4	1	76.821	0.2	1	4
2828	2	2	80.143	0.4	0	3
2829	3	1	84.2	0.5	1	4
2830	3	1	68.276	0.7	1	4
2831	5	2	73.963	0.8	1	5
2832	1	1	77.483	1	0	2
2833	3	1	80.849	1.1	1	4
2834	2	3	85.318	1.4	0	3
2835	4	0	69.927	1.7	1	3
2836	2	1	74.73	2.2	0	2
2837	3	1	78.139	3.1	1	2
2838	3	0	81.589	0.3	1	3
2839	5	1	86.706	0.4	1	4
2840	2	2	71.181	0.5	1	3
2841	3	1	75.454	0.7	1	4
2842	2	1	78.797	0.8	0	2
2843	4	2	82.379	1	1	5
2844	2	0	88.659	1.2	0	2
2845	4	1	72.223	1.4	1	4
2846	3	2	76.148	1.7	1	3
2847	6	1	79.462	2.2	1	4
2848	1	1	83.238	3.3	0	2
2849	3	2	92.86	0.3	1	4
2850	2	1	66.276	0.4	0	2
2851	4	1	73.308	0.5	1	4
2852	2	2	76.955	0.7	0	3
2853	3	0	80.282	0.8	1	3
2854	3	1	84.408	1	1	3
2855	5	2	68.656	1.2	1	4
2856	2	1	74.121	1.4	1	3
2857	3	1	77.614	1.8	1	3
2858	2	2	80.994	2.3	1	2
2859	4	1	85.569	3.4	1	3
2860	2	1	70.201	0.3	0	2
2861	3	3	74.878	0.4	1	4
2862	3	0	78.27	0.6	1	3
2863	5	1	81.743	0.7	1	4
2864	1	1	87.035	0.8	0	2
2865	3	0	71.403	1	1	3
2866	2	1	75.595	1.2	1	3
2867	4	2	78.929	1.5	1	4
2868	2	1	82.544	1.8	0	3
2869	3	1	89.189	2.4	1	3
2870	3	2	72.415	3.6	1	2
2871	5	0	76.284	0.3	1	4
2872	2	1	79.597	0.4	0	3
2873	3	2	83.421	0.6	1	4
2874	2	1	95.62	0.7	0	3
2875	4	1	61.605	0.9	1	4
2876	2	2	72.638	1	0	3
2877	4	1	76.446	1.2	1	4
2878	3	1	79.76	1.5	1	3
2879	7	3	83.646	1.8	1	5
2880	1	0	66.989	2.4	0	1
2881	3	1	73.509	3.9	1	2
2882	2	2	77.114	0.3	0	3
2883	4	1	80.45	0.5	1	4
2884	2	1	84.668	0.6	0	3
2885	3	2	69.073	0.7	1	3
2886	2	1	74.307	0.9	1	3
2887	5	1	77.772	1	1	4
2888	2	3	81.17	1.2	0	3
2889	3	0	85.885	1.5	1	3
2890	2	1	70.513	1.9	0	2
2891	4	2	75.053	2.5	1	3
2892	2	0	78.428	4.2	1	1
2893	3	1	81.93	0.3	1	4
2894	3	2	87.462	0.5	1	4
2895	5	1	71.659	0.6	1	4
2896	1	1	75.762	0.7	0	2
2897	3	2	79.088	0.9	1	4
2898	2	0	82.747	1.1	0	2
2899	4	1	89.939	1.3	1	4
2900	2	2	63.648	1.5	0	3
2901	3	1	72.819	1.9	1	3
2902	3	1	76.581	2.6	1	2
2903	5	2	79.896	4.5	1	2
2904	2	1	83.839	0.1	0	3
2905	3	1	67.496	0.3	1	3
2906	2	3	73.674	0.5	0	3
2907	4	0	77.246	0.6	1	4
2908	2	1	80.592	0.7	0	2
2909	4	2	84.892	0.9	1	4
2910	3	1	69.395	1.1	1	3
2911	6	1	74.459	1.3	1	5
2912	1	2	77.903	1.6	0	2
2913	3	1	81.318	2	1	3
2914	2	1	86.163	2.7	0	2
2915	4	3	70.76	0.2	1	4
2916	2	0	75.197	0.4	0	3
2917	3	1	78.559	0.5	1	4
2918	3	1	82.088	0.6	1	4
2919	5	0	87.853	0.8	1	4
2920	2	1	71.866	0.9	1	3
2921	3	2	75.901	1.1	1	4
2922	2	1	79.221	1.3	0	2
2923	4	1	82.919	1.6	1	3
2924	2	2	90.714	2	1	3
2925	4	0	64.841	2.8	1	2
2926	3	1	72.997	0.2	1	3
2927	6	2	76.715	0.4	1	5
2928	2	0	80.033	0.5	1	3
2929	3	1	84.037	0.6	1	4
2930	2	2	67.947	0.8	0	2
2931	4	1	73.835	0.9	1	3
2932	2	1	77.378	1.1	0	2
2933	3	2	80.734	1.3	1	3
2934	3	0	85.125	1.6	1	3
2935	5	1	69.698	2.1	1	4
2936	2	2	74.61	2.9	0	2
2937	3	1	78.034	0.2	1	3
2938	2	1	81.468	0.4	0	3
2939	4	2	86.457	0.5	1	4
2940	2	1	70.997	0.6	1	3
2941	4	1	75.34	0.8	1	4
2942	3	3	78.691	0.9	1	4
2943	7	0	82.248	1.1	1	5
2944	1	1	88.281	1.4	0	2
2945	3	1	72.067	1.7	1	3
2946	2	0	76.038	2.1	0	2
2947	4	1	79.355	3	1	3
2948	2	2	83.095	0.2	0	3
2949	3	1	91.722	0.4	1	4
2950	2	1	65.71	0.5	0	3
2951	4	2	73.171	0.7	1	4
2952	2	0	76.848	0.8	1	2
2953	3	1	80.171	1	1	3
2954	2	2	84.241	1.1	1	3
2955	4	1	68.355	1.4	1	4
2956	2	1	73.995	1.7	0	2
2957	3	2	77.509	2.2	1	3
2958	3	1	80.878	3.1	1	3
2959	5	1	85.367	0.3	1	5
2960	1	3	69.983	0.4	0	3
2961	3	0	74.759	0.5	1	3
2962	2	1	78.165	0.7	0	3
2963	4	2	81.62	0.8	1	4
2964	2	1	86.77	1	1	3
2965	3	1	71.226	1.2	1	3
2966	3	2	75.482	1.4	1	3
2967	5	1	78.823	1.7	1	4
2968	2	1	82.412	2.2	0	2
2969	3	3	88.76	3.3	1	3
2970	2	0	72.262	0.3	0	2
2971	4	1	76.175	0.4	1	4
2972	2	1	79.489	0.6	1	3
2973	4	0	83.274	0.7	1	4
2974	3	1	93.23	0.8	1	4
2975	6	2	66.405	1	1	5
2976	1	1	73.341	1.2	0	2
2977	3	1	76.981	1.4	1	3
2978	2	2	80.31	1.8	0	3
2979	4	0	84.451	2.3	1	3
2980	2	1	68.728	3.5	0	1
2981	3	2	74.152	0.3	1	4
2982	3	1	77.641	0.4	1	3
2983	5	1	81.023	0.6	1	4
2984	2	2	85.62	0.7	0	3
2985	3	1	70.254	0.8	1	3
2986	2	1	74.907	1	0	3
2987	4	3	78.296	1.2	1	4
2988	2	0	81.774	1.5	0	2
2989	3	1	87.103	1.8	1	3
2990	3	2	71.446	2.4	1	3
2991	6	1	75.623	3.7	1	3
2992	1	1	78.955	0.3	0	2
2993	3	2	82.578	0.4	1	4
2994	2	1	89.304	0.6	0	3
2995	4	1	72.452	0.7	1	3
2996	2	3	76.311	0.9	0	3
2997	3	0	79.624	1	1	3
2998	3	1	83.458	1.2	1	3
2999	5	1	96.902	1.5	1	4
3000	2	0	62.152	1.8	1	2
3001	3	1	72.675	2.4	1	3
3002	2	2	76.473	3.9	0	2
3003	4	1	79.787	0.3	1	4
3004	2	1	83.684	0.5	0	3
3005	4	2	67.095	0.6	1	4
3006	3	0	73.542	0.7	1	3
3007	7	1	77.14	0.9	1	5
3008	1	2	80.478	1	0	2
3009	3	0	84.712	1.2	1	3
3010	2	1	69.139	1.5	0	2
3011	4	2	74.337	1.9	1	3
3012	2	1	77.798	2.5	0	2
3013	3	1	81.199	4.2	1	2
3014	3	2	85.939	0.3	1	4
3015	5	0	70.563	0.5	1	3
3016	2	1	75.082	0.6	0	3
3017	3	2	78.454	0.7	1	4
3018	2	1	81.961	0.9	0	3
3019	4	1	87.538	1.1	1	4
3020	2	2	71.701	1.3	1	3
3021	3	1	75.79	1.5	1	3
3022	3	1	79.115	1.9	1	3
3023	5	3	82.781	2.6	1	4
3024	1	0	90.081	4.6	0	0
3025	3	1	63.926	0.1	1	3
3026	2	1	72.855	0.3	0	3
3027	4	0	76.608	0.5	1	4
3028	2	1	79.923	0.6	1	3
3029	3	2	83.878	0.7	1	4
3030	3	1	67.59	0.9	1	3
3031	5	1	73.706	1.1	1	4
3032	2	2	77.272	1.3	0	3
3033	3	0	80.62	1.6	1	3
3034	2	1	84.938	2	0	2
3035	4	2	69.457	2.7	1	3
3036	2	1	74.49	0.2	1	3
3037	4	1	77.929	0.4	1	4
3038	3	2	81.348	0.5	1	3
3039	6	1	86.221	0.6	1	5
3040	1	1	70.808	0.8	0	2
3041	3	3	75.226	0.9	1	4
3042	2	0	78.586	1.1	0	2
3043	4	1	82.12	1.3	1	4
3044	2	2	87.935	1.6	0	3
3045	3	1	71.907	2	1	3
3046	3	1	75.928	2.8	1	3
3047	5	2	79.248	0.2	1	4
3048	2	1	82.954	0.4	0	3
3049	3	1	90.892	0.5	1	4
3050	2	3	65.034	0.6	1	3
3051	4	0	73.032	0.8	1	3
3052	2	1	76.741	0.9	0	3
3053	4	1	80.061	1.1	1	4
3054	3	0	84.077	1.3	1	3
3055	6	1	68.032	1.6	1	4
3056	2	2	73.867	2.1	0	2
3057	3	1	77.404	2.9	1	2
3058	2	1	80.763	0.2	0	3
3059	4	2	85.173	0.4	1	5
3060	2	0	69.756	0.5	0	2
3061	3	1	74.64	0.6	1	3
3062	3	2	78.06	0.8	1	4
3063	5	1	81.498	0.9	1	5
3064	2	1	86.518	1.1	1	3
3065	3	2	71.044	1.4	1	3
3066	2	1	75.369	1.7	1	3
3067	4	1	78.717	2.1	1	4
3068	2	3	82.281	3	0	2
3069	4	0	88.373	0.2	1	4
3070	3	1	72.106	0.4	1	3
3071	8	2	76.066	0.5	1	6
3072	1	1	79.382	0.7	0	3
3073	3	1	83.131	0.8	1	3
3074	2	2	91.969	1	1	3
3075	4	1	65.861	1.1	1	4
3076	2	1	73.205	1.4	0	2
3077	3	3	76.875	1.7	1	3
3078	2	0	80.199	2.2	0	2
3079	4	1	84.282	3.2	1	3
3080	2	1	68.432	0.3	0	3
3081	3	0	74.026	0.4	1	3
3082	2	1	77.535	0.5	1	3
3083	4	2	80.907	0.7	1	4
3084	2	1	85.417	0.8	0	3
3085	3	1	70.039	1	1	3
3086	3	2	74.789	1.2	1	3
3087	5	0	78.191	1.4	1	3
3088	1	1	81.65	1.7	0	2
3089	3	2	86.834	2.2	1	3
3090	2	1	71.27	3.3	0	2
3091	4	1	75.51	0.3	1	4
3092	2	2	78.849	0.4	0	3
3093	3	1	82.445	0.6	1	4
3094	3	1	88.863	0.7	1	4
3095	5	2	72.3	0.8	1	4
3096	2	0	76.202	1	0	3
3097	3	1	79.516	1.2	1	3
3098	2	2	83.311	1.4	0	3
3099	4	1	93.657	1.8	1	4
3100	2	1	66.529	2.3	0	2
3101	4	2	73.375	3.5	1	3
3102	3	1	77.008	0.3	1	4
3103	6	1	80.338	0.4	1	5
3104	1	3	84.494	0.6	0	3
3105	3	0	68.799	0.7	1	3
3106	2	1	74.183	0.8	0	3
3107	4	1	77.667	1	1	4
3108	2	0	81.052	1.2	0	2
3109	3	1	85.672	1.5	1	3
3110	3	2	70.307	1.8	1	3
3111	5	1	74.936	2.4	1	3
3112	2	1	78.323	3.7	0	2
3113	3	2	81.805	0.3	1	4
3114	2	0	87.173	0.4	0	3
3115	4	1	71.489	0.6	1	4
3116	2	2	75.651	0.7	1	4
3117	3	1	78.982	0.9	1	4
3118	3	1	82.611	1	1	3
3119	5	2	89.422	1.2	1	4
3120	1	1	72.49	1.5	0	2
3121	3	1	76.338	1.9	1	3
3122	2	3	79.651	2.4	0	3
3123	4	0	83.495	3.9	1	2
3124	2	1	100.322	0.3	0	3
3125	3	2	52.956	0.5	1	3
3126	3	1	72.499	0.6	1	4
3127	5	1	76.345	0.7	1	4
3128	2	2	79.658	0.9	0	3
3129	3	1	83.504	1	1	3
3130	2	1	66.558	1.2	0	2
3131	4	3	73.383	1.5	1	4
3132	2	0	77.014	1.9	0	2
3133	4	1	80.345	2.5	1	3
3134	3	2	84.504	4.2	1	2
3135	6	0	68.816	0.3	1	4
3136	1	1	74.19	0.5	0	2
3137	3	2	77.673	0.6	1	3
3138	2	1	81.059	0.7	0	3
3139	4	1	85.685	0.9	1	4
3140	2	2	70.32	1.1	1	3
3141	3	0	74.943	1.3	1	3
3142	2	1	78.329	1.5	0	3
3143	4	2	81.812	1.9	1	4
3144	2	1	87.19	2.6	0	2
3145	3	1	71.5	4.6	1	1
3146	2	2	75.657	0.1	0	3
3147	4	1	78.988	0.3	1	4
3148	2	1	82.619	0.5	0	3
3149	3	3	89.451	0.6	1	4
3150	3	0	62.269	0.7	1	3
3151	5	1	72.683	0.9	1	4
3152	1	2	76.48	1.1	0	2
3153	3	1	79.793	1.3	1	4
3154	2	1	83.693	1.6	0	3
3155	4	2	67.121	2	1	4
3156	2	1	73.55	2.7	0	2
3157	3	1	77.146	0.2	1	4
3158	3	3	80.485	0.4	1	4
3159	5	0	84.723	0.5	1	4
3160	2	1	69.155	0.6	0	3
3161	3	1	74.345	0.8	1	4
3162	2	0	77.804	0.9	0	2
3163	4	1	81.206	1.1	1	4
3164	2	2	85.953	1.3	0	3
3165	4	1	70.575	1.6	1	4
3166	3	1	75.089	2	1	3
3167	6	2	78.46	2.8	1	4
3168	1	0	81.969	0.2	0	2
3169	3	1	87.556	0.4	1	4
3170	2	2	71.711	0.5	0	3
3171	4	0	75.797	0.6	1	3
3172	2	1	79.121	0.8	0	3
3173	3	2	82.789	0.9	1	4
3174	3	1	90.116	1.1	1	3
3175	5	1	63.99	1.3	1	4
3176	2	2	72.864	1.6	0	3
3177	3	0	76.614	2.1	1	2
3178	2	1	79.93	2.9	0	2
3179	4	2	83.888	0.2	1	4
3180	2	1	67.613	0.4	0	3
3181	3	1	73.714	0.5	1	3
3182	3	2	77.278	0.6	1	3
3183	6	1	80.627	0.8	1	5
3184	2	1	84.949	0.9	0	3
3185	3	3	69.472	1.1	1	4
3186	2	0	74.497	1.4	0	2
3187	4	1	77.935	1.7	1	4
3188	2	1	81.355	2.1	0	2
3189	3	0	86.235	3	1	2
3190	3	1	70.82	0.2	1	3
3191	5	2	75.233	0.4	1	5
3192	2	1	78.592	0.5	0	3
3193	3	1	82.127	0.7	1	4
3194	2	2	87.955	0.8	0	3
3195	4	0	71.916	1	1	3
3196	2	1	75.935	1.2	0	3
3197	4	2	79.254	1.4	1	4
3198	3	1	82.962	1.7	1	3
3199	7	1	90.936	2.2	1	4
3200	1	2	65.079	3.2	0	1
3201	3	1	73.04	0.3	1	3
3202	2	1	76.748	0.4	0	3
3203	4	3	80.067	0.5	1	4
3204	2	0	84.087	0.7	0	2
3205	3	1	68.052	0.8	1	3
3206	2	2	73.875	1	0	3
3207	4	1	77.41	1.2	1	4
3208	2	1	80.77	1.4	1	3
3209	3	2	85.184	1.7	1	4
3210	2	1	69.77	2.3	0	2
3211	4	1	74.647	3.3	1	3
3212	2	3	78.067	0.3	0	3
3213	3	0	81.505	0.4	1	3
3214	3	1	86.533	0.6	1	3
3215	5	1	71.055	0.7	1	4
3216	1	0	75.376	0.8	0	2
3217	3	1	78.724	1	1	4
3218	2	2	82.289	1.2	0	3
3219	4	1	88.395	1.4	1	4
3220	2	1	72.116	1.8	0	2
3221	3	2	76.072	2.3	1	3
3222	3	0	79.388	3.5	1	2
3223	5	1	83.139	0.3	1	5
3224	2	2	92.031	0.4	1	4
3225	3	1	65.896	0.6	1	3
3226	2	1	73.213	0.7	0	3
3227	4	2	76.881	0.8	1	4
3228	2	1	80.206	1	1	3
3229	4	1	84.292	1.2	1	4
3230	3	3	68.45	1.5	1	4
3231	6	0	74.034	1.8	1	5
3232	1	1	77.542	2.4	0	2
3233	3	2	80.914	3.7	1	2
3234	2	1	85.429	0.3	0	3
3235	4	1	70.052	0.4	1	4
3236	2	2	74.796	0.6	0	3
3237	3	1	78.198	0.7	1	3
3238	3	1	81.658	0.9	1	3
3239	5	3	86.85	1	1	5
3240	2	0	71.281	1.2	0	2
3241	3	1	75.517	1.5	1	3
