ID	PreferenceForPublicTransport	TravelTime	TravelCost	EnvironmentalConcern	SafetyPerception
994	1	18	2.8	0	1
995	4	10	7.2	1	0
996	3	11	3.2	0	0
997	1	57	4.6	1	0
998	1	33	5.0	0	1
999	0	50	6.3	0	1
1000	3	20	6.2	0	1
1001	3	11	2.5	1	0
1002	1	38	3.0	1	0
1003	0	51	2.5	0	0
1004	2	20	5.4	1	0
1005	1	37	1.9	1	0
1006	3	19	6.2	1	1
1007	1	34	9.8	0	0
1008	3	22	1.2	1	0
1009	2	36	8.6	1	0
1010	1	53	3.2	1	1
1011	3	43	5.2	1	1
1012	2	13	2.6	0	1
1013	1	52	8.0	1	0
1014	0	49	3.6	1	0
1015	2	52	10.0	1	1
1016	1	58	3.9	1	1
1017	3	12	8.6	1	1
1018	2	54	9.3	1	0
1019	3	27	1.9	1	1
1020	0	53	7.0	0	0
1021	3	14	6.4	0	0
1022	0	53	7.0	0	1
1023	2	25	1.8	1	0
1024	2	16	1.1	0	0
1025	2	20	4.3	1	1
1026	2	46	2.8	1	1
1027	0	59	4.1	1	0
1028	1	56	8.0	1	1
1029	1	41	8.6	0	0
1030	2	13	6.9	0	0
1031	0	49	1.6	1	0
1032	0	58	9.8	0	1
1033	2	25	7.9	0	0
1034	2	54	2.7	0	1
1035	4	13	7.3	1	1
1036	3	33	2.3	1	0
1037	2	30	8.9	0	0
1038	2	27	6.0	1	0
1039	3	11	4.2	1	0
1040	0	45	4.7	1	0
1041	0	19	5.3	0	0
1042	2	13	9.2	0	0
1043	2	32	8.8	1	1
1044	1	38	8.5	0	1
1045	0	39	4.7	0	0
1046	0	50	7.2	0	0
1047	1	57	1.9	1	1
1048	2	36	3.2	0	0
1049	0	58	7.1	1	0
1050	0	48	1.3	0	1
1051	1	41	6.8	1	0
1052	1	12	7.6	0	0
1053	2	16	2.8	1	0
1054	1	59	5.8	0	0
1055	3	22	7.0	1	1
1056	1	16	2.2	0	1
1057	3	13	5.2	1	0
1058	1	35	1.5	0	1
1059	0	49	9.5	0	0
1060	1	43	8.8	0	1
1061	2	35	9.4	1	1
1062	1	26	1.3	1	0
1063	2	29	4.9	1	1
1064	4	21	6.0	1	1
1065	0	25	8.9	1	0
1066	1	12	4.6	1	0
1067	1	56	3.4	1	0
1068	3	16	3.1	1	1
1069	1	53	2.9	1	0
1070	0	56	4.5	0	0
1071	1	31	4.5	0	0
1072	2	55	5.8	1	0
1073	3	12	5.8	0	0
1074	3	31	9.8	1	1
1075	0	41	1.3	0	0
1076	2	32	8.0	1	0
1077	0	59	6.4	1	0
1078	2	55	3.7	1	1
1079	2	17	8.4	0	1
1080	1	60	6.4	0	0
1081	0	28	6.2	0	1
1082	3	18	5.7	0	1
1083	0	14	3.0	0	1
1084	1	19	2.6	0	0
1085	0	59	4.6	1	0
1086	0	59	4.8	0	0
1087	2	33	6.0	1	0
1088	0	50	9.3	0	0
1089	1	32	5.5	0	0
1090	3	45	7.5	1	0
1091	3	28	9.7	1	0
1092	0	44	1.0	0	0
1093	3	20	9.0	1	1
1094	2	32	4.7	1	1
1095	0	43	5.3	0	0
1096	1	27	2.7	1	0
1097	1	36	3.3	1	1
1098	0	30	2.2	1	0
1099	1	45	7.8	0	0
1100	1	35	9.4	1	0
1101	0	18	8.8	0	1
1102	0	52	5.6	0	0
1103	0	49	5.5	1	0
1104	1	54	9.6	1	1
1105	2	49	1.5	1	0
1106	2	29	6.5	0	1
1107	2	12	6.8	1	0
1108	4	15	9.7	1	1
1109	0	25	6.7	0	0
1110	2	45	6.0	0	1
1111	2	23	3.3	0	1
1112	3	11	8.4	0	1
1113	2	17	7.8	0	0
1114	0	41	3.4	0	1
1115	2	20	6.0	1	1
1116	0	21	3.5	0	0
1117	1	30	9.4	1	1
1118	1	42	9.0	1	1
1119	3	16	9.5	0	1
1120	0	39	7.0	0	1
1121	2	10	2.8	0	1
1122	3	24	7.5	1	1
1123	0	30	7.2	0	1
1124	3	14	8.8	1	0
1125	1	37	5.4	1	0
1126	0	58	3.4	1	0
1127	2	15	8.1	0	1
1128	1	37	7.2	0	0
1129	1	32	9.3	1	1
1130	4	12	3.6	1	1
1131	2	27	8.5	0	0
1132	1	53	2.1	0	0
1133	2	23	7.4	0	1
1134	1	29	4.3	1	0
1135	2	47	2.6	0	0
1136	0	31	3.8	1	1
1137	0	29	2.4	1	0
1138	3	11	8.5	1	1
1139	1	39	6.7	1	0
1140	2	16	6.4	1	0
1141	1	59	3.4	1	0
1142	0	45	9.3	0	0
1143	0	16	7.5	0	0
1144	3	11	9.7	0	1
1145	1	48	8.1	0	0
1146	3	51	6.5	1	1
1147	2	24	8.7	0	0
1148	3	30	6.1	1	1
1149	1	38	3.8	1	0
1150	4	18	5.8	1	0
1151	3	39	3.4	1	0
1152	0	58	5.2	0	1
1153	0	59	7.4	0	1
1154	1	50	4.8	0	1
1155	1	15	7.4	0	1
1156	1	59	5.2	1	1
1157	0	60	9.4	0	0
1158	2	24	1.8	0	0
1159	2	27	7.2	1	0
1160	1	49	4.6	0	0
1161	0	19	7.6	0	0
1162	0	27	5.3	0	0
1163	1	51	2.0	0	1
1164	1	44	7.3	0	1
1165	1	33	4.8	0	1
1166	2	38	7.7	1	1
1167	2	12	6.5	1	0
1168	0	47	7.3	1	0
1169	0	32	3.3	0	0
1170	3	26	8.4	1	1
1171	1	41	4.6	1	1
1172	0	37	5.0	0	0
1173	1	31	6.9	1	1
1174	2	39	9.0	1	0
1175	4	10	4.5	1	1
1176	1	32	4.0	0	1
1177	0	52	6.9	1	0
1178	2	29	3.1	1	0
1179	0	60	2.1	0	1
1180	2	14	8.9	0	0
1181	1	52	9.5	1	1
1182	3	17	4.5	1	0
1183	0	37	4.3	0	0
1184	0	49	5.1	0	0
1185	2	13	5.4	0	0
1186	1	21	1.5	0	1
1187	3	39	5.0	1	1
1188	0	46	7.5	0	0
1189	2	33	5.3	0	1
1190	4	27	7.5	1	1
1191	2	35	3.7	0	1
1192	2	48	6.3	1	1
1193	1	37	6.9	0	1
1194	2	30	7.0	1	0
1195	0	46	8.0	0	1
1196	3	17	9.3	1	0
1197	1	22	8.2	0	1
1198	1	33	1.2	0	1
1199	0	60	9.6	0	0
1200	1	44	6.7	0	1
1201	4	19	8.0	1	1
1202	3	15	4.2	0	0
1203	0	55	3.1	1	0
1204	1	45	3.1	1	1
1205	3	42	2.4	1	1
1206	2	35	9.0	1	0
1207	0	39	4.5	0	1
1208	1	24	6.2	0	1
1209	2	27	6.0	0	1
1210	3	31	2.1	1	1
1211	1	39	5.1	0	1
1212	1	47	3.7	1	0
1213	3	19	7.0	1	1
1214	1	26	5.9	1	1
1215	1	53	8.0	1	0
1216	0	60	5.8	0	1
1217	0	47	6.4	0	1
1218	2	58	2.9	1	0
1219	3	42	1.0	1	1
1220	2	21	9.4	1	0
1221	2	14	1.5	0	1
1222	3	11	8.8	0	1
1223	3	13	3.2	0	1
1224	2	17	1.8	0	1
1225	2	26	3.2	1	0
1226	1	56	8.4	0	1
1227	1	45	5.4	1	1
1228	1	24	6.2	0	0
1229	1	15	2.0	0	0
1230	4	29	6.5	0	0
1231	1	19	3.1	0	1
1232	1	26	4.4	0	0
1233	0	56	4.7	0	0
1234	2	34	1.3	0	1
1235	0	41	6.4	0	0
1236	3	20	2.2	1	1
1237	1	44	6.8	0	0
1238	1	56	6.2	1	0
1239	1	33	1.4	0	0
1240	4	14	3.6	1	0
1241	3	21	7.7	1	1
1242	1	46	5.0	1	0
1243	1	13	9.9	0	1
1244	1	52	2.8	1	1
1245	0	53	6.1	1	1
1246	1	43	9.2	1	1
1247	0	58	5.8	1	0
1248	0	44	1.5	0	0
1249	1	34	9.3	1	0
1250	2	46	7.4	1	1
1251	1	52	6.6	1	1
1252	0	57	3.6	1	0
1253	2	51	9.9	1	1
1254	0	55	2.5	1	0
1255	2	57	4.8	0	1
1256	2	17	8.6	1	0
1257	1	46	6.8	0	1
1258	0	59	2.3	0	1
1259	0	45	9.1	0	0
1260	2	38	3.3	0	0
1261	0	24	2.4	0	1
1262	1	58	7.8	0	1
1263	1	31	8.3	0	0
1264	0	41	4.9	0	0
1265	0	29	7.1	0	0
1266	4	20	1.2	0	1
1267	4	24	5.0	1	1
1268	1	23	5.3	0	1
1269	2	32	6.9	1	1
1270	3	20	3.4	0	1
1271	0	57	7.2	1	1
1272	3	34	4.9	1	0
1273	2	12	9.1	0	0
1274	0	33	8.8	1	0
1275	2	38	3.9	0	0
1276	2	57	3.1	1	1
1277	2	47	2.6	1	1
1278	1	17	9.3	1	0
1279	3	30	7.3	1	1
1280	1	17	8.1	0	1
1281	0	35	6.4	0	0
1282	2	10	9.6	0	0
1283	2	42	9.0	1	0
1284	1	50	4.0	1	1
1285	3	23	8.2	1	0
1286	1	43	4.1	1	0
1287	2	51	2.6	1	0
1288	0	57	3.0	0	1
1289	3	28	1.9	1	0
1290	0	45	1.3	0	0
1291	2	13	2.6	0	1
1292	3	12	6.2	1	1
1293	2	53	6.4	1	1
1294	3	46	7.0	1	1
1295	2	35	5.1	1	1
1296	0	42	7.3	1	0
1297	1	39	2.0	1	0
1298	2	15	2.0	1	0
1299	1	55	5.6	0	1
1300	4	23	1.1	1	0
1301	2	17	5.3	0	1
1302	0	50	7.0	0	1
1303	0	55	4.9	0	0
1304	1	57	7.8	1	0
1305	3	21	3.3	0	1
1306	3	19	3.5	1	1
1307	0	37	7.3	0	0
1308	1	41	9.9	0	1
1309	1	11	3.3	0	0
1310	0	58	2.5	0	0
1311	2	22	1.5	0	1
1312	2	23	2.4	0	0
1313	2	23	6.0	1	0
1314	0	48	9.3	0	0
1315	1	24	5.7	0	1
1316	2	22	5.1	1	0
1317	1	46	3.2	1	1
1318	0	56	1.4	0	0
1319	0	31	1.7	1	0
1320	3	26	5.9	1	0
1321	2	15	7.0	0	1
1322	0	55	9.5	1	1
1323	1	18	4.8	1	1
1324	3	17	4.0	1	1
1325	0	51	7.7	1	0
1326	0	38	7.2	1	0
1327	1	41	7.1	1	0
1328	2	37	6.0	1	1
1329	0	25	3.9	0	0
1330	1	43	6.0	1	0
1331	2	38	4.1	1	0
1332	0	56	9.4	0	1
1333	3	30	8.3	1	1
1334	0	44	6.1	1	1
1335	0	48	7.8	0	1
1336	2	22	6.8	1	0
1337	0	37	2.0	0	0
1338	2	21	5.9	0	1
1339	1	13	7.2	0	1
1340	1	47	9.1	1	1
1341	0	49	7.2	0	0
1342	2	27	5.3	1	0
1343	0	22	4.0	0	0
1344	2	17	8.4	1	0
1345	2	16	8.4	1	1
1346	2	46	5.5	0	1
1347	1	34	5.5	0	1
1348	0	15	6.9	0	0
1349	2	11	3.2	1	1
1350	0	60	1.2	0	1
1351	1	52	5.4	0	0
1352	0	31	6.4	0	0
1353	2	43	8.9	0	0
1354	0	33	3.3	0	1
1355	0	50	8.0	0	0
1356	0	58	4.1	0	0
1357	0	34	5.0	0	0
1358	3	36	3.4	1	0
1359	2	23	7.6	1	0
1360	3	31	2.2	0	0
1361	0	43	9.0	1	0
1362	1	18	7.8	1	1
1363	0	52	7.7	0	0
1364	0	34	1.7	1	1
1365	3	11	7.1	1	1
1366	2	31	3.8	0	0
1367	0	39	9.1	1	0
1368	3	35	2.7	0	1
1369	2	38	8.2	1	1
1370	0	57	2.2	0	1
1371	2	31	1.1	1	0
1372	3	41	4.3	0	1
1373	3	11	2.2	1	0
1374	2	14	1.7	0	1
1375	2	41	7.4	1	1
1376	0	43	3.4	0	0
1377	1	36	2.8	0	1
1378	1	50	6.2	1	1
1379	1	35	8.8	1	0
1380	3	11	6.7	1	0
1381	1	37	6.3	0	1
1382	0	40	4.6	0	0
1383	2	14	9.1	0	0
1384	5	14	4.6	1	1
1385	3	32	6.8	1	0
1386	2	32	2.0	1	1
1387	1	53	3.3	1	0
1388	1	12	6.5	0	0
1389	3	16	4.0	0	0
1390	2	38	8.6	1	1
1391	2	50	2.0	1	1
1392	1	45	5.9	0	1
1393	1	46	6.1	1	1
1394	1	32	9.6	0	1
1395	0	18	9.9	1	0
1396	0	51	5.9	1	1
1397	0	55	2.6	0	1
1398	2	52	6.7	1	1
1399	3	42	2.7	1	1
1400	1	18	5.5	1	1
1401	1	46	7.7	1	0
1402	0	30	3.3	1	0
1403	3	42	3.3	1	1
1404	0	52	8.5	1	1
1405	3	21	2.4	0	1
1406	0	53	7.0	0	1
1407	2	16	5.4	0	0
1408	1	46	3.2	1	1
1409	1	29	1.8	0	0
1410	0	34	5.0	0	0
1411	4	10	2.1	0	0
1412	1	44	5.8	0	1
1413	0	30	5.1	0	0
1414	3	42	9.9	1	0
1415	3	21	2.0	0	0
1416	0	19	4.9	0	0
1417	1	39	1.7	1	0
1418	2	18	9.5	1	0
1419	2	35	8.3	1	1
1420	0	54	5.3	1	0
1421	1	29	6.1	1	1
1422	1	24	7.8	1	1
1423	0	49	6.8	0	1
1424	0	42	7.8	1	1
1425	3	17	5.9	0	0
1426	1	30	5.1	0	1
1427	2	49	4.0	1	0
1428	0	29	8.4	0	1
1429	3	24	5.5	1	0
1430	0	33	7.1	0	1
1431	2	51	1.4	1	1
1432	0	54	4.3	0	0
1433	1	14	6.8	0	0
1434	0	37	4.4	0	0
1435	0	27	2.6	0	1
1436	1	12	1.4	1	1
1437	3	48	7.3	1	1
1438	2	45	6.5	1	0
1439	0	56	2.7	0	0
1440	1	30	7.3	0	1
1441	1	57	5.7	0	0
1442	3	46	5.2	1	1
1443	3	22	3.6	1	0
1444	0	36	9.1	1	0
1445	2	46	1.1	1	1
1446	4	14	1.2	1	0
1447	3	28	9.3	0	1
1448	0	48	2.7	0	1
1449	2	21	8.3	0	0
1450	2	43	2.3	1	1
1451	5	35	4.6	1	1
1452	2	24	9.4	0	1
1453	2	49	4.5	1	1
1454	1	32	8.0	0	0
1455	2	50	5.5	1	1
1456	1	35	7.6	0	1
1457	0	47	6.4	1	1
1458	1	32	4.5	1	0
1459	2	19	3.2	0	1
1460	2	14	4.3	0	0
1461	3	10	7.6	0	1
1462	2	49	6.5	1	1
1463	1	29	2.7	0	1
1464	2	50	2.4	0	1
1465	0	40	6.9	0	0
1466	1	15	2.0	0	0
1467	0	58	8.9	0	1
1468	3	21	2.9	1	1
1469	4	37	9.0	1	1
1470	2	10	2.1	0	0
1471	0	48	5.6	0	0
1472	3	12	6.4	0	0
1473	1	32	8.2	1	1
1474	1	31	7.7	0	1
1475	2	19	4.2	1	0
1476	3	14	4.7	1	1
1477	3	46	4.1	1	1
1478	3	40	4.4	0	1
1479	3	15	6.8	1	1
1480	1	23	7.7	0	1
1481	3	12	8.8	1	0
1482	0	58	7.8	0	1
1483	0	48	8.7	1	1
1484	0	50	1.8	0	0
1485	3	14	5.3	1	1
1486	2	18	3.8	1	0
1487	2	34	6.8	1	0
1488	2	49	4.9	0	1
1489	2	52	1.3	1	1
1490	2	30	5.0	1	1
1491	1	22	9.9	1	0
1492	0	58	3.5	0	0
1493	0	31	9.1	0	1
1494	1	23	2.0	1	1
1495	0	42	8.9	0	1
1496	3	21	1.5	1	0
1497	0	43	4.9	1	0
1498	0	53	2.5	0	0
1499	2	41	3.4	0	1
1500	0	54	4.6	0	0
1501	2	37	7.4	1	1
1502	4	21	1.5	0	1
1503	1	48	6.4	1	0
1504	1	35	7.8	1	1
1505	2	20	3.3	0	1
1506	2	37	5.6	1	1
1507	3	13	2.0	1	1
1508	2	31	6.6	1	0
1509	0	35	1.2	0	1
1510	2	18	2.5	1	1
1511	1	29	8.5	0	0
1512	1	10	5.0	1	0
1513	1	55	8.4	0	0
1514	2	56	1.1	1	1
1515	1	53	9.7	0	1
1516	0	31	2.6	0	0
1517	3	51	1.2	1	1
1518	1	58	9.6	1	0
1519	0	39	1.1	0	0
1520	0	30	5.0	0	1
1521	1	47	7.0	1	1
1522	1	54	1.7	1	1
1523	0	43	7.2	0	0
1524	0	58	5.1	1	0
1525	1	25	3.8	0	1
1526	1	52	7.7	0	1
1527	1	41	9.3	0	0
1528	2	23	5.3	1	0
1529	1	27	7.4	0	1
1530	0	35	6.6	0	0
1531	1	35	9.7	1	0
1532	3	17	9.8	1	0
1533	1	30	5.7	1	0
1534	2	16	2.9	0	1
1535	1	48	4.0	0	1
1536	0	58	9.4	0	0
1537	2	24	3.5	1	0
1538	0	52	1.6	0	0
1539	2	50	5.6	1	0
1540	2	48	5.9	0	1
1541	3	15	4.3	1	1
1542	1	21	6.8	0	1
1543	2	43	4.4	0	0
1544	0	57	9.5	0	0
1545	3	25	6.4	0	1
1546	2	11	5.1	1	0
1547	2	28	7.3	0	0
1548	0	27	7.8	0	0
1549	0	47	8.3	0	0
1550	3	20	6.4	0	1
1551	2	27	7.6	0	0
1552	2	34	2.3	1	1
1553	1	28	9.7	0	0
1554	1	44	7.5	1	1
1555	2	18	4.2	0	0
1556	1	53	6.5	0	0
1557	0	53	9.9	0	0
1558	2	21	6.8	1	1
1559	3	20	8.8	1	1
1560	0	52	5.8	0	0
1561	0	54	9.5	0	1
1562	1	45	8.4	1	1
1563	1	47	2.3	1	0
1564	2	39	6.8	1	1
1565	1	57	5.2	1	0
1566	2	33	2.1	1	0
1567	0	57	8.7	0	1
1568	0	52	3.4	0	0
1569	1	25	8.7	0	1
1570	2	45	2.1	1	1
1571	0	39	1.8	0	0
1572	1	47	5.8	0	1
1573	1	23	5.7	1	0
1574	2	59	7.9	1	1
1575	1	37	8.3	1	0
1576	1	55	4.7	1	1
1577	3	11	3.5	1	1
1578	1	17	2.8	0	0
1579	2	42	3.2	0	1
1580	1	58	7.3	1	1
1581	3	10	8.0	0	1
1582	1	46	6.5	0	1
1583	1	55	1.7	0	1
1584	2	34	9.4	1	0
1585	0	48	5.0	0	0
1586	4	12	1.8	0	0
1587	0	32	3.4	1	1
1588	0	52	1.2	1	1
1589	1	30	8.7	1	0
1590	0	58	5.5	0	1
1591	0	34	4.5	0	0
1592	0	50	7.6	1	0
1593	0	57	8.6	1	0
1594	1	45	2.4	1	0
1595	5	22	6.0	1	1
1596	0	32	6.7	0	1
1597	0	51	5.1	0	1
1598	3	26	4.4	1	1
1599	0	55	1.7	1	1
1600	3	45	9.6	1	1
1601	2	26	1.4	0	1
1602	1	56	1.8	0	0
1603	2	11	2.1	0	1
1604	1	44	1.2	1	0
1605	1	42	3.1	0	0
1606	2	38	2.6	1	1
1607	2	27	1.7	1	1
1608	3	27	2.0	1	1
1609	2	39	7.7	1	0
1610	1	43	9.9	1	1
1611	2	15	5.3	1	0
1612	3	36	4.1	0	1
1613	2	22	9.5	0	0
1614	0	32	10.0	1	1
1615	1	42	1.2	0	1
1616	0	50	6.1	0	1
1617	1	11	2.1	1	0
1618	1	18	4.4	0	0
1619	4	11	4.1	1	0
1620	0	46	4.4	1	1
1621	4	25	3.3	1	1
1622	2	46	8.2	1	1
1623	1	50	4.3	0	1
1624	2	37	4.4	1	0
1625	4	40	6.3	1	1
1626	2	16	9.3	0	0
1627	0	50	5.0	0	0
1628	2	17	5.1	1	1
1629	0	37	5.6	0	0
1630	4	10	9.5	1	1
1631	2	23	7.6	0	0
1632	3	29	9.3	1	0
1633	1	35	4.4	0	0
1634	1	21	5.4	1	0
1635	3	19	2.8	1	0
1636	2	33	9.4	1	0
1637	1	24	7.8	0	0
1638	0	24	9.4	0	1
1639	2	29	2.5	1	0
1640	1	36	5.9	1	1
1641	0	24	8.1	0	0
1642	1	19	6.8	0	1
1643	3	20	5.3	0	1
1644	2	17	7.9	1	1
1645	2	26	2.7	1	1
1646	1	42	2.8	0	1
1647	0	52	2.1	0	1
1648	2	57	3.0	0	0
1649	2	17	6.8	0	1
1650	2	38	8.5	1	0
1651	0	42	3.0	1	0
1652	3	15	6.3	1	1
1653	0	11	4.5	0	0
1654	0	33	6.0	0	0
1655	2	56	1.6	0	1
1656	1	21	5.9	0	0
1657	2	45	7.9	1	0
1658	2	21	8.8	1	0
1659	2	54	6.5	1	1
1660	3	39	9.4	1	1
1661	0	60	9.6	1	0
1662	3	16	8.5	1	1
1663	0	58	4.6	0	0
1664	3	51	4.4	1	0
1665	2	59	5.6	1	0
1666	0	51	9.1	0	1
1667	2	30	2.0	1	0
1668	1	49	3.9	1	0
1669	1	10	7.4	0	0
1670	2	57	7.5	0	1
1671	1	19	1.8	0	1
1672	3	23	2.8	1	1
1673	2	41	4.7	1	1
1674	0	31	7.7	0	0
1675	2	11	7.9	1	1
1676	0	43	3.1	0	1
1677	1	38	7.2	1	1
1678	0	30	4.9	0	0
1679	3	15	6.7	0	1
1680	1	11	2.8	0	1
1681	2	55	3.6	1	1
1682	1	23	3.9	0	0
1683	3	47	3.2	1	1
1684	2	50	2.1	1	0
1685	1	21	3.3	0	1
1686	2	33	8.7	1	0
1687	1	24	8.4	1	1
1688	1	18	4.3	0	1
1689	1	51	4.4	1	0
1690	1	22	3.5	0	0
1691	1	43	6.5	1	0
1692	2	24	5.3	1	0
1693	2	23	8.0	1	0
1694	3	13	8.8	1	1
1695	1	58	5.9	1	0
1696	2	20	2.4	1	0
1697	1	47	6.1	1	0
1698	3	11	2.6	1	1
1699	2	18	7.1	0	1
1700	0	41	5.6	1	0
1701	4	16	1.4	1	1
1702	1	56	6.1	0	1
1703	0	53	1.5	0	1
1704	2	21	9.1	0	0
1705	2	19	3.3	1	0
1706	2	48	6.3	1	0
1707	3	42	1.8	1	1
1708	0	29	4.8	0	0
1709	0	57	7.1	0	0
1710	3	30	5.4	0	1
1711	1	59	4.7	1	1
1712	0	33	9.3	0	0
1713	0	33	2.7	1	0
1714	3	10	1.3	1	1
1715	2	58	5.6	0	1
1716	1	39	3.9	0	0
1717	2	31	3.3	1	0
1718	3	20	3.4	0	0
1719	0	54	5.6	0	1
1720	0	50	8.1	0	1
1721	0	44	6.5	0	1
1722	3	48	6.4	1	0
1723	0	31	8.2	0	1
1724	2	45	7.0	0	1
1725	4	17	1.1	1	1
1726	3	44	1.6	1	0
1727	2	28	6.9	0	0
1728	1	27	8.9	1	0
1729	0	46	6.7	1	1
1730	2	57	1.6	1	1
1731	3	10	9.6	1	1
1732	0	49	2.8	0	1
1733	2	37	8.6	1	0
1734	1	51	6.5	1	0
1735	2	27	1.4	1	1
1736	3	16	7.0	0	0
1737	2	15	6.8	0	0
1738	2	11	1.8	1	0
1739	1	14	3.2	0	0
1740	1	60	9.5	0	1
1741	3	21	8.1	0	0
1742	3	58	1.7	1	1
1743	1	18	9.6	0	0
1744	4	13	2.6	1	0
1745	2	38	4.5	1	1
1746	0	52	5.2	0	1
1747	5	16	3.3	1	1
1748	1	52	1.3	0	0
1749	3	16	3.3	0	1
1750	2	35	2.4	1	0
1751	2	53	3.1	1	0
1752	0	36	9.4	1	1
1753	2	36	2.3	1	0
1754	1	44	2.1	1	1
1755	2	34	4.5	0	1
1756	1	48	5.0	1	0
1757	1	46	3.8	0	1
1758	2	17	8.8	0	1
1759	0	57	7.9	0	0
1760	3	12	7.5	1	0
1761	1	24	6.9	0	1
1762	2	12	5.0	1	0
1763	0	43	6.9	0	0
1764	2	49	9.3	1	1
1765	1	11	8.8	0	1
1766	3	21	7.6	1	1
1767	2	14	6.0	1	1
1768	0	35	5.2	0	0
1769	1	39	3.3	1	0
1770	1	47	3.2	0	0
1771	2	28	5.1	0	1
1772	2	15	9.3	1	0
1773	2	19	5.7	0	1
1774	3	13	6.1	0	0
1775	1	57	7.5	0	0
1776	1	56	6.7	0	0
1777	1	29	4.0	1	0
1778	2	30	6.5	1	1
1779	2	22	4.5	1	1
1780	3	24	3.7	1	1
1781	0	32	3.9	0	1
1782	0	40	4.8	0	1
1783	1	30	5.4	1	1
1784	1	24	9.4	1	0
1785	3	16	4.8	0	0
1786	0	58	8.4	0	0
1787	3	19	1.8	0	1
1788	1	28	1.4	1	1
1789	2	23	4.4	0	1
1790	2	57	6.8	1	0
1791	1	48	5.3	0	1
1792	0	54	3.1	0	1
1793	2	51	2.1	1	1
1794	2	47	3.3	1	1
1795	2	20	1.4	0	0
1796	2	53	5.8	1	1
1797	2	11	2.4	1	1
1798	2	13	9.8	1	1
1799	1	60	4.1	1	0
1800	3	19	2.4	0	1
1801	2	45	3.3	0	0
1802	0	38	5.0	0	0
1803	3	21	4.2	1	1
1804	1	39	2.5	1	0
1805	0	54	1.9	0	1
1806	1	39	9.5	0	1
1807	0	59	7.9	1	0
1808	1	26	2.4	0	0
1809	0	28	6.7	0	0
1810	0	58	3.3	0	0
1811	4	42	5.0	1	1
1812	1	58	4.3	1	0
1813	0	46	3.9	0	0
1814	2	44	3.9	1	1
1815	2	17	8.6	1	1
1816	0	48	5.9	1	1
1817	4	11	4.1	1	0
1818	0	42	1.6	1	0
1819	1	37	7.4	0	0
1820	1	46	7.0	1	1
1821	4	41	3.9	0	1
1822	0	55	4.6	0	1
1823	2	27	9.3	1	1
1824	1	43	5.1	0	1
1825	2	36	8.0	1	1
1826	0	50	7.8	0	0
1827	2	38	3.5	1	0
1828	1	58	6.6	1	0
1829	1	48	6.9	1	1
1830	2	17	5.8	1	0
1831	1	27	9.1	1	1
1832	1	42	8.7	1	0
1833	2	12	9.5	1	1
1834	3	16	2.2	1	1
1835	2	48	6.9	1	1
1836	0	50	9.7	0	1
1837	3	58	1.8	1	1
1838	1	35	2.5	0	0
1839	2	39	3.7	1	0
1840	2	33	7.0	1	0
1841	0	22	8.2	1	0
1842	0	52	7.0	0	1
1843	3	14	3.2	1	1
1844	1	37	2.3	0	0
1845	1	40	5.6	0	0
1846	3	27	5.9	1	0
1847	0	53	5.2	0	0
1848	2	20	9.6	0	0
1849	0	46	8.7	1	0
1850	1	20	7.0	1	0
1851	0	53	7.0	0	0
1852	0	54	6.2	1	0
1853	3	18	6.3	1	1
1854	2	17	7.4	1	1
1855	0	28	6.9	0	0
1856	2	25	8.7	1	1
1857	2	32	5.3	0	0
1858	3	13	6.0	1	1
1859	3	48	7.5	0	1
1860	2	17	8.3	0	0
1861	1	55	9.5	1	0
1862	1	48	9.8	0	0
1863	1	44	4.6	1	1
1864	0	51	1.2	0	0
1865	1	32	5.6	0	0
1866	3	25	9.3	1	0
1867	2	55	8.3	1	1
1868	2	20	9.9	0	1
1869	2	11	4.1	0	0
1870	2	21	4.3	0	1
1871	0	37	3.3	1	0
1872	1	40	3.4	0	0
1873	3	13	6.5	1	1
1874	1	51	2.4	1	0
1875	1	20	8.7	0	1
1876	0	18	3.2	1	0
1877	3	30	6.7	1	0
1878	0	31	6.6	0	0
1879	0	51	3.6	1	1
1880	4	49	3.9	1	1
1881	2	14	6.5	1	0
1882	2	26	4.0	1	1
1883	0	46	9.3	0	1
1884	0	22	5.9	0	1
1885	1	19	1.1	0	0
1886	2	33	6.0	0	1
1887	3	10	2.0	1	1
1888	0	50	7.7	0	1
1889	1	46	1.6	0	1
1890	0	44	4.1	1	0
1891	4	12	7.7	1	1
1892	1	48	9.3	0	1
1893	2	21	1.4	1	1
1894	1	48	7.4	0	1
1895	0	37	9.3	0	0
1896	1	45	1.8	0	1
1897	0	33	3.3	0	0
1898	0	57	2.3	1	0
1899	2	22	6.9	1	1
1900	1	48	6.6	0	1
1901	1	21	6.1	1	0
1902	3	11	2.4	1	0
1903	0	49	7.4	0	0
1904	3	33	7.2	1	0
1905	0	37	2.8	0	1
1906	2	41	5.9	0	1
1907	0	49	9.7	1	0
1908	1	44	1.6	0	0
1909	3	23	1.8	1	0
1910	0	54	4.9	0	0
1911	0	56	9.7	0	1
1912	0	57	9.3	0	0
1913	0	45	6.5	0	1
1914	0	35	8.6	0	1
1915	2	58	4.5	1	1
1916	1	49	2.5	0	1
1917	4	23	4.8	0	1
1918	1	14	5.1	0	0
1919	0	31	1.2	0	0
1920	4	43	4.6	1	1
1921	3	11	3.7	0	1
1922	2	23	5.6	0	1
1923	1	60	5.5	1	1
